dtype,family,maximum,minimum,missing,mode_fraction,model_utility,name,positive_gain_fold_fraction,status,unique_values,univariate_utility,definition,availability,final_selected,final_reason,correlation_clicks,correlation_carts,correlation_orders,duplicate_of,correlation,redundant_with
float32,graph,4528.05419921875,0.0,0,0.43625939421765597,1.6805994472023352e-05,graph_cart_all_n10_hour_max,0.3333333333333333,capacity,259658,0.024064836711191546,"max of cart graph affinity from last 10 observed events restricted to all, with hour weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,0.023497111951270678,0.03676937512145422,0.017807188299380355,,,
float32,graph,4528.0546875,0.0,0,0.43625939421765597,7.564244544302304e-05,graph_cart_all_n10_hour_mean,1.0,capacity,270665,0.015068186718579499,"mean of cart graph affinity from last 10 observed events restricted to all, with hour weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,0.021748697571267236,0.026015187949992243,0.00848126762742517,,,
float32,graph,2261.66650390625,0.0,0,0.6888055360467537,3.1581475944664175e-05,graph_cart_all_n10_hour_std,1.0,capacity,153457,0.023416676371101473,"std of cart graph affinity from last 10 observed events restricted to all, with hour weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,0.017706732412126926,0.03546028912941689,0.018346527318439523,,,
float32,graph,35907.1015625,0.0,0,0.43625939421765597,3.1417867965915764e-06,graph_cart_all_n10_six_hours_sum,0.3333333333333333,capacity,269031,0.027230280314677245,"sum of cart graph affinity from last 10 observed events restricted to all, with six_hours weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,0.0188310463901706,0.04668186907112869,0.018904358257202634,,,
float32,graph,4528.05419921875,0.0,0,0.43625939421765597,2.8196817851767195e-05,graph_cart_all_n10_six_hours_max,0.6666666666666666,capacity,259511,0.02413075146128722,"max of cart graph affinity from last 10 observed events restricted to all, with six_hours weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,0.022797778024871096,0.03648788865318329,0.018174345104741873,,,
float32,graph,4528.0546875,0.0,0,0.43625939421765597,3.5889867589822604e-05,graph_cart_all_n10_six_hours_mean,0.6666666666666666,capacity,270974,0.01495277176154708,"mean of cart graph affinity from last 10 observed events restricted to all, with six_hours weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,0.02159250051558326,0.025753706654773535,0.008445682855927826,,,
float32,graph,2177.373779296875,0.0,0,0.6852316964746028,0.0004479417393142776,graph_cart_all_n10_six_hours_std,1.0,capacity,155036,0.022891851940095798,"std of cart graph affinity from last 10 observed events restricted to all, with six_hours weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,0.017006169476600365,0.034367994976803685,0.018134727498991095,,,
float32,graph,49838.9296875,0.0,0,0.4247577395902438,0.00010500295357447631,graph_cart_all_n20_uniform_sum,1.0,capacity,263762,0.02389814196849256,"sum of cart graph affinity from last 20 observed events restricted to all, with uniform weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,0.015052106110948902,0.04160330093414104,0.016519901795258935,,,
float32,graph,4528.05419921875,0.0,0,0.4247577395902438,7.080839059164763e-05,graph_cart_all_n20_uniform_max,1.0,capacity,238032,0.023875851274702417,"max of cart graph affinity from last 20 observed events restricted to all, with uniform weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,0.02095625262897877,0.03548853426993368,0.018556109551374062,,,
float32,graph,4528.05419921875,0.0,0,0.4247577395902438,4.1278119980451186e-05,graph_cart_all_n20_uniform_mean,0.6666666666666666,redundant,270997,0.014304567745987685,"mean of cart graph affinity from last 20 observed events restricted to all, with uniform weights; missing edges zero",fixed historical cutoff and observed prefix,False,redundant,0.02096404402008811,0.024877070566279545,0.007908403623491685,,0.9983354433351233,graph_cart_all_n20_six_hours_mean
