objective,feature,family,gain,mean_absolute_shap,mean_signed_shap
clicks,repeat_all_h72_decay,repeat,205366.41799163818,0.015692721379093305,-0.010683549431495794
clicks,intent_time_clicks,interaction,287132.1148529053,0.2790145887253648,-0.19472830676777658
clicks,repeat_clicks_n1_count,repeat,791.0050048828125,0.00012189794525845829,0.00009475280904384128
clicks,hist_carts_h336_share,history,0.0,0.0,0.0
clicks,graph_cart_all_n5_uniform_max,graph,134743.33261871338,0.15644568927303262,-0.09412674008945383
clicks,repeat_all_h1_decay,repeat,40623.26180267334,0.007589925312129461,-0.00563409179704606
clicks,repeat_all_n20_share,repeat,748238.5668563843,0.04200301948358216,-0.03205294356308469
clicks,repeat_all_n5_count,repeat,1056.0499877929688,0.00005975002028491603,-0.00005945466211333554
clicks,hist_all_h1_share,history,0.0,0.0,0.0
clicks,hist_all_all,history,845.8762969970703,0.0004704910862215049,-0.0001759780198901082
clicks,repeat_clicks_h24_decay,repeat,227.72539520263672,0.000057226769446518786,-0.00004809168630088243
clicks,hist_carts_trend_h72_h168,history,0.0,0.0,0.0
clicks,hist_all_trend_h72_h168,history,0.0,0.0,0.0
clicks,hist_all_h24_share,history,7053.259902954102,0.0033592662507598414,0.0013223228254358214
clicks,hist_carts_all,history,11464.448051452637,0.02249325438395302,-0.009973087353393265
clicks,hist_orders_trend_h168_h336,history,0.0,0.0,0.0
clicks,hist_orders_trend_h24_h72,history,0.0,0.0,0.0
clicks,hist_carts_trend_h6_h24,history,0.0,0.0,0.0
clicks,hist_carts_trend_h168_h336,history,0.0,0.0,0.0
clicks,graph_time_all_n1_uniform_sum,graph,386021.13652801514,0.24217357718758564,-0.1787029562763215
clicks,hist_orders_h12_share,history,0.0,0.0,0.0
clicks,graph_cart_all_n50_six_hours_mean,graph,36108.34553527832,0.07259559409087829,0.06273888667745027
clicks,hist_carts_per_click_h168,history,0.0,0.0,0.0
clicks,graph_cart_all_n20_six_hours_mean,graph,4213.717346191406,0.016024893933734224,-0.0028814621200710837
clicks,hist_clicks_h6_share,history,2153.8310317993164,0.0020478086267782677,0.0003612070421590692
clicks,repeat_carts_n5_first_position,repeat,163.33399963378906,0.00001752268404324201,-0.000016308343300080184
clicks,hist_orders_h24,history,4200.598007202148,0.025983244056897045,-0.01120351883442335
carts,query_duration_hours,context,75.91629981994629,0.001647397533972354,-0.00017212901753840988
carts,query_repeat_share,context,157.78020095825195,0.00009435324006386853,9.568799214777617e-6
carts,query_events,context,225.595609664917,0.00019276958477695616,0.00012249863737573912
carts,query_carts_share,context,960.5132064819336,0.0011293299500412899,0.000876007297989519
carts,query_unique,context,12451.8477602005,0.07208244285426324,-0.00800562615987256
carts,repeat_orders_n50_count,repeat,0.0,0.0,0.0
carts,repeat_all_n50_age_hours,repeat,15050.111854553223,0.004786739766355479,0.004244514341088659
carts,query_orders_share,context,0.0,0.0,0.0
carts,repeat_all_n50_last_position,repeat,6846.394874572754,0.001808871072239298,0.0016440888263189375
carts,repeat_all_n50_count,repeat,0.0,0.0,0.0
carts,repeat_carts_n50_count,repeat,0.0,0.0,0.0
carts,repeat_clicks_n50_count,repeat,0.0,0.0,0.0
carts,query_hour_sin,context,40.0906982421875,0.00029017382568225446,0.00019314263020074455
carts,query_weekday_cos,context,0.0,0.0,0.0
carts,query_hour_cos,context,0.0,0.0,0.0
carts,repeat_all_n5_share,repeat,518303.41854667664,0.052449472683638115,-0.041295953491093634
carts,hist_clicks_h72_share,history,349.3624038696289,0.0019430351213160309,0.0004103871643478598
carts,hist_carts_h72,history,1895.6401481628418,0.008832664510725657,-0.0037097222748975825
carts,query_clicks_last_age_hours,context,205.1350975036621,0.0004937360571618913,-0.00006705572478544997
carts,query_weekday_sin,context,0.0,0.0,0.0
carts,query_gap_max,context,38.20050048828125,0.00009449923315706084,-0.00007564657154006976
carts,query_gap_median,context,120.65789794921875,0.0015498790583375038,-0.00010227623563894799
carts,hist_all_h336,history,5311.876482009888,0.042305482637378745,-0.019582892352522353
carts,history_last_age_hours,history,22.02910041809082,0.004656497399531714,-0.004656312618250924
carts,intent_repeat_carts,interaction,6554.001909255981,0.009203588106747517,-0.007215336631752382
carts,hist_carts_h12_share,history,512.186206817627,0.003722810798620244,0.00021790968133760007
carts,hist_all_h336_share,history,62.855899810791016,0.00028973282986399286,-0.00010532379490016156
carts,hist_orders_h6_share,history,52.727699279785156,0.0006817374853911862,0.00017243930846068156
carts,repeat_carts_h24_decay,repeat,379.2875003814697,0.00024061742122086696,-0.00021566780831979893
carts,hist_clicks_h168_share,history,131.6637020111084,0.0005053174612021943,0.00018282842541097468
carts,query_clicks_count,context,173.3335018157959,0.001239275647445478,-0.0003473207274810536
carts,hist_carts_h6_share,history,173.59239768981934,0.0002999872624243828,0.00016448237635492382
carts,query_carts_last_age_hours,context,289.8469009399414,0.00012803839527878626,0.00006478990098105538
carts,query_gap_mean,context,65.4364013671875,0.0001787453691702736,0.00008321648805949525
carts,hist_orders_h24_share,history,87.04909896850586,0.0011933328996798723,0.0006174050221401395
carts,history_lifetime_hours,history,301.46259689331055,0.0009105532399566928,-0.0001515033143155233
carts,hist_orders_trend_h72_h168,history,19.63170051574707,0.00004227097235431089,9.591163947525022e-6
carts,intent_repeat_orders,interaction,273.64870262145996,0.0006098066450716352,-0.0003822891448057536
carts,graph_time_clicks_n1_uniform_sum,graph,355.50719833374023,0.0029393933658277815,-0.0007135786266174515
carts,hist_carts_h1_share,history,102.39590072631836,0.0005223183759018972,0.00016702772357597402
carts,hist_orders_per_click_h72,history,0.0,0.0,0.0
carts,query_clicks_share,context,276.5039978027344,0.0002840166016562912,0.00018933458780492313
carts,query_carts_count,context,281.51859855651855,0.0003505445831010572,0.0001684501897120506
carts,hist_clicks_h6,history,138.5121021270752,0.0009163924190019167,-0.00034297375491221135
carts,hist_orders_per_click_h336,history,39.02129936218262,0.0014509571686732994,-0.001293673280755223
carts,hist_clicks_trend_h72_h168,history,118.7051010131836,0.0002060109749807681,0.000018387912036400384
carts,hist_all_trend_h168_h336,history,461.352502822876,0.005750839552155657,0.00173916971229173
carts,query_gap_std,context,72.93319892883301,0.001858907938330489,-0.0005616641825429812
carts,hist_orders_h336_share,history,0.0,0.0,0.0
carts,hist_all_trend_h24_h72,history,69.44880104064941,0.00016905763576019258,0.00003894865733470012
carts,hist_orders_h72,history,42.6328010559082,0.0005351831991345611,-0.0003421434911723049
carts,hist_carts_h72_share,history,381.5966053009033,0.002786853113810558,0.000832446233952961
carts,hist_carts_per_click_h336,history,1073.448574066162,0.0037770081811137604,0.0017127548634944892
carts,hist_carts_trend_h24_h72,history,19.991600036621094,0.000059975700790582256,0.00002775042609648009
carts,hist_all_h168_share,history,231.25990104675293,0.0037060621730779916,0.0005784511949887147
carts,hist_carts_per_click_all,history,7116.408391952515,0.02479223073106457,0.0120609568443341
carts,hist_orders_per_click_h24,history,0.0,0.0,0.0
carts,hist_carts_h168,history,262.0786952972412,0.018715089628844366,-0.0029234787637352692
carts,intent_time_carts,interaction,3166.5254859924316,0.007888164895371957,0.0036151546362149624
carts,hist_clicks_trend_h24_h72,history,86.65329933166504,0.0010158504205663769,0.00034894835443423605
carts,repeat_all_n20_age_hours,repeat,2500.1904525756836,0.0021287906790625555,-0.0017196710540817615
carts,hist_clicks_h336_share,history,28.935800552368164,0.00014681628879002797,0.00004198643684270357
carts,hist_carts_per_click_h72,history,1398.680679321289,0.015924815117870864,0.006880515397276361
carts,hist_all_h1,history,27.887800216674805,0.0008396785913634324,-0.0006186811643242108
carts,hist_all_trend_h6_h24,history,0.0,0.0,0.0
carts,hist_all_h12_share,history,809.927900314331,0.0033236991890279654,0.0005720780483485067
carts,hist_clicks_trend_h6_h24,history,37.94730186462402,0.0001805150092651786,-0.000050102667987131994
carts,repeat_all_n1_count,repeat,102181.84536743164,0.04254427572295186,-0.031058493417755698
carts,hist_all_h72_share,history,503.99560356140137,0.0023431992734112214,0.0006749971730887755
carts,hist_orders_per_click_all,history,42.44370079040527,0.00010746884159686985,0.00005511203231025225
carts,hist_orders_h168_share,history,47.00130081176758,0.0003173634999614947,0.0002070084169848251
carts,hist_clicks_trend_h168_h336,history,633.6611976623535,0.0028776650810687053,0.0005373807918519027
carts,hist_all_trend_h1_h6,history,18.527099609375,0.00003037166596058671,0.000018016137844399823
carts,hist_clicks_h168,history,1415.3701171875,0.04096720404313729,-0.014567764914768666
carts,hist_orders_per_click_h12,history,93.24510097503662,0.0017625223284559212,0.00019532928302176686
carts,repeat_all_h72_decay,repeat,146329.34569740295,0.02038504511647895,-0.01440149731940444
carts,intent_time_clicks,interaction,70485.35244941711,0.40252555878404295,-0.2663498716199658
carts,repeat_clicks_n1_count,repeat,932.6490173339844,0.0011815848237943828,-0.0007211621201753664
carts,hist_carts_h336_share,history,45.41990089416504,0.00026837406592776763,-0.000011856997664990344
carts,graph_cart_all_n5_uniform_max,graph,11024.409119606018,0.06474048779799708,-0.04149380441617896
carts,repeat_all_h1_decay,repeat,72096.74831008911,0.01799810611583948,-0.011959878551136931
carts,repeat_all_n20_share,repeat,18826.444650650024,0.023563184739748486,-0.016597468547137284
carts,repeat_all_n5_count,repeat,0.0,0.0,0.0
carts,hist_all_h1_share,history,500.24999809265137,0.003964131561170044,0.0015255317496647384
carts,hist_all_all,history,6486.854088783264,0.022994252824295028,-0.0060973588586370735
carts,repeat_clicks_h24_decay,repeat,1403.1325092315674,0.002357975839206914,-0.0019214115720243342
carts,hist_carts_trend_h72_h168,history,60.86000061035156,0.00009509205817332987,7.20655530632992e-6
carts,hist_all_trend_h72_h168,history,0.0,0.0,0.0
carts,hist_all_h24_share,history,1281.8677024841309,0.009366500192922692,0.002711494900919945
carts,hist_carts_all,history,989.4292984008789,0.003923080532393158,-0.002242717960328245
carts,hist_orders_trend_h168_h336,history,20.227100372314453,0.00019609283382079939,0.00007134744028451724
carts,hist_orders_trend_h24_h72,history,42.821001052856445,0.0002334431210146345,-0.00012748182783606864
carts,hist_carts_trend_h6_h24,history,0.0,0.0,0.0
carts,hist_carts_trend_h168_h336,history,525.4993000030518,0.0017005896926066133,0.0005233371082443459
carts,graph_time_all_n1_uniform_sum,graph,29948.35682106018,0.21281750902892146,-0.15178591525623328
carts,hist_orders_h12_share,history,0.0,0.0,0.0
carts,graph_cart_all_n50_six_hours_mean,graph,11339.69501876831,0.13627942882766342,-0.05425921784230646
carts,hist_carts_per_click_h168,history,1496.2481060028076,0.005362136848250168,0.0020698927797892478
carts,graph_cart_all_n20_six_hours_mean,graph,3997.1719131469727,0.031303228965623486,-0.0074250418858562445
carts,hist_clicks_h6_share,history,685.5088005065918,0.005488497530548029,0.0011912019467413297
carts,repeat_carts_n5_first_position,repeat,0.0,0.0,0.0
carts,hist_orders_h24,history,155.66980361938477,0.008131605693842862,0.0010256224049867803
orders,query_duration_hours,context,120.31790161132812,0.001421921452743094,0.00045922122117987606
orders,query_repeat_share,context,2560.7667875289917,0.0356590162666235,0.002598715650001948
orders,query_events,context,450.96240615844727,0.002327456970893399,0.0004952699587293225
orders,query_carts_share,context,4786.398587226868,0.022396605416564148,0.002033953816399727
orders,query_unique,context,349.6211004257202,0.004732813461058939,0.0006272460500109992
orders,repeat_orders_n50_count,repeat,3708.031226158142,0.0002925496716946334,0.0002925496716946334
orders,repeat_all_n50_age_hours,repeat,273.4434509277344,0.00018857203094227969,-0.00003341726237607308
orders,query_orders_share,context,257.8434810638428,0.000043312430485775155,-1.5510133940521647e-6
orders,repeat_all_n50_last_position,repeat,1121.6936931610107,0.0027240717603971574,0.0025538711005494387
orders,repeat_all_n50_count,repeat,0.0,0.0,0.0
orders,repeat_carts_n50_count,repeat,1133.6573095321655,0.00033686153380859074,-0.0002914131211536048
orders,repeat_clicks_n50_count,repeat,10.701800346374512,8.858491748050002e-6,-4.571619107721364e-6
orders,query_hour_sin,context,101.47764015197754,0.007023067575854514,-0.00015623522095967713
orders,query_weekday_cos,context,60.3297004699707,0.00026017865863620863,0.00004388305179418629
orders,query_hour_cos,context,76.9376802444458,0.0007893190911237771,0.00007952241249079485
orders,repeat_all_n5_share,repeat,7655.771595001221,0.005893333832542599,-0.0056058456164719125
orders,hist_clicks_h72_share,history,160.84844207763672,0.0017471457541938424,0.0005595605413236587
orders,hist_carts_h72,history,187.74849796295166,0.0021856061456168533,0.0006598131082520242
orders,query_clicks_last_age_hours,context,282.2850637435913,0.003541535054242264,-0.0001258402176657524
orders,query_weekday_sin,context,44.13412952423096,0.0003702301083002305,-0.0002095292651481474
orders,query_gap_max,context,70.5722599029541,0.0011388167893374975,0.00015734224015138563
orders,query_gap_median,context,166.08982849121094,0.0029110873849203774,-0.0008367485820663422
orders,hist_all_h336,history,1088.0238876342773,0.05387970444879275,-0.0208236528213724
orders,history_last_age_hours,history,80.53297138214111,0.029610191033627824,-0.029596732620588723
orders,intent_repeat_carts,interaction,1523.391146659851,0.00364930608857287,-0.002742277785796525
orders,hist_carts_h12_share,history,98.05440044403076,0.0035023747515269448,-0.00032976617577336234
orders,hist_all_h336_share,history,78.46490001678467,0.004656536210327033,0.0007272467228771362
orders,hist_orders_h6_share,history,189.9843511581421,0.006280447998395386,-0.0007281978859143707
orders,repeat_carts_h24_decay,repeat,30563.681882858276,0.007751758788868149,-0.006833387655651009
orders,hist_clicks_h168_share,history,310.860239982605,0.006257862258185629,0.00080791882914041
orders,query_clicks_count,context,39.76310920715332,0.00007343742783110998,0.00007168100812097539
orders,hist_carts_h6_share,history,370.48731994628906,0.004510954213459846,0.0009729959801215895
orders,query_carts_last_age_hours,context,354.5503559112549,0.0008520891305221494,0.00012580673390097326
orders,query_gap_mean,context,22.198599815368652,0.00015106299762620553,0.000020449960351857943
orders,hist_orders_h24_share,history,109.31186008453369,0.0008887375607549271,-0.0003487029004927578
orders,history_lifetime_hours,history,353.6164741516113,0.015606976369856175,-0.006503249955219425
orders,hist_orders_trend_h72_h168,history,237.2761516571045,0.004123166018274534,0.0004707440523559139
orders,intent_repeat_orders,interaction,14171.677646636963,0.03660791351193815,-0.027027694731125245
orders,graph_time_clicks_n1_uniform_sum,graph,16702.12316799164,0.16958078535786114,-0.12327031338208425
orders,hist_carts_h1_share,history,69.19713878631592,0.0009038428749520101,0.0003116594983594782
orders,hist_orders_per_click_h72,history,217.93970012664795,0.008281465892864066,0.0005480088116417241
orders,query_clicks_share,context,10.009200096130371,2.076511125421952e-6,-1.6387436273166252e-6
orders,query_carts_count,context,6679.649687767029,0.006715907383531191,0.0022361305563349367
orders,hist_clicks_h6,history,195.5988712310791,0.00889833392767555,0.0018989212937679041
orders,hist_orders_per_click_h336,history,1469.369595527649,0.02698525050405852,0.011049692170913842
orders,hist_clicks_trend_h72_h168,history,121.96817970275879,0.0013942924602364124,-0.0001544603907484744
orders,hist_all_trend_h168_h336,history,326.3134880065918,0.012170356631343329,0.0034344416862115987
orders,query_gap_std,context,126.2244005203247,0.0183193885085492,-0.0008925178602957598
orders,hist_orders_h336_share,history,303.11372089385986,0.0012235102959005646,0.000442794067998862
orders,hist_all_trend_h24_h72,history,172.74329948425293,0.003686926086548121,0.001940339203334786
orders,hist_orders_h72,history,536.3334245681763,0.0034778804746605895,-0.0025620280991871273
orders,hist_carts_h72_share,history,191.43545818328857,0.004703745111336479,0.0002617761536233498
